Model,Input,Feature,Metric,Baseline PR-AUC,Importance,Importance Std,Permuted PR-AUC,Repeats,Samples,Rank
CNN-LSTM (ours),scaled sequence variables,tmmn,PR-AUC,0.9843,0.2284,0.0248,0.756,3,471,1
CNN-LSTM (ours),scaled sequence variables,fm1000,PR-AUC,0.9843,0.2024,0.0386,0.7819,3,471,2
CNN-LSTM (ours),scaled sequence variables,erc,PR-AUC,0.9843,0.1028,0.0119,0.8815,3,471,3
CNN-LSTM (ours),scaled sequence variables,rmin,PR-AUC,0.9843,0.0608,0.0034,0.9235,3,471,4
CNN-LSTM (ours),scaled sequence variables,tmmx,PR-AUC,0.9843,0.0181,0.0037,0.9663,3,471,5
CNN-LSTM (ours),scaled sequence variables,vs,PR-AUC,0.9843,0.013,0.0007,0.9713,3,471,6
CNN-LSTM (ours),scaled sequence variables,srad,PR-AUC,0.9843,0.0123,0.0006,0.9721,3,471,7
CNN-LSTM (ours),scaled sequence variables,pr,PR-AUC,0.9843,0.0074,0.0042,0.9769,3,471,8
CNN-LSTM (ours),scaled sequence variables,bi,PR-AUC,0.9843,0.0067,0.002,0.9776,3,471,9
CNN-LSTM (ours),scaled sequence variables,rmax,PR-AUC,0.9843,0.0052,0.002,0.9792,3,471,10
CNN-LSTM (ours),scaled sequence variables,fm100,PR-AUC,0.9843,0.0049,0.0009,0.9794,3,471,11
CNN-LSTM (ours),scaled sequence variables,sph,PR-AUC,0.9843,0.0023,0.0006,0.9821,3,471,12
CNN-LSTM (ours),scaled sequence variables,pet,PR-AUC,0.9843,0.002,0.0003,0.9823,3,471,13
CNN-LSTM (ours),scaled sequence variables,vpd,PR-AUC,0.9843,0.0017,0.001,0.9826,3,471,14
CNN-LSTM (ours),scaled sequence variables,etr,PR-AUC,0.9843,-0.0007,0.0013,0.985,3,471,15
XGBoost*,raw sequence variables,erc,PR-AUC,0.9837,0.0122,0.0012,0.9714,3,471,1
XGBoost*,raw sequence variables,tmmn,PR-AUC,0.9837,0.0099,0.0008,0.9737,3,471,2
XGBoost*,raw sequence variables,vs,PR-AUC,0.9837,0.0059,0.0013,0.9777,3,471,3
XGBoost*,raw sequence variables,fm1000,PR-AUC,0.9837,0.0045,0.0009,0.9792,3,471,4
XGBoost*,raw sequence variables,pr,PR-AUC,0.9837,0.003,0.0018,0.9806,3,471,5
XGBoost*,raw sequence variables,srad,PR-AUC,0.9837,0.0025,0.0003,0.9812,3,471,6
XGBoost*,raw sequence variables,tmmx,PR-AUC,0.9837,0.0015,0.0016,0.9822,3,471,7
XGBoost*,raw sequence variables,pet,PR-AUC,0.9837,0.0005,0.0003,0.9831,3,471,8
XGBoost*,raw sequence variables,vpd,PR-AUC,0.9837,0.0005,0.002,0.9832,3,471,9
XGBoost*,raw sequence variables,bi,PR-AUC,0.9837,0.0004,0.0007,0.9833,3,471,10
XGBoost*,raw sequence variables,sph,PR-AUC,0.9837,-0.0002,0.0003,0.9839,3,471,11
XGBoost*,raw sequence variables,fm100,PR-AUC,0.9837,-0.0002,0.0001,0.9839,3,471,12
XGBoost*,raw sequence variables,etr,PR-AUC,0.9837,-0.0005,0.0002,0.9842,3,471,13
XGBoost*,raw sequence variables,rmin,PR-AUC,0.9837,-0.0007,0.0013,0.9844,3,471,14
XGBoost*,raw sequence variables,rmax,PR-AUC,0.9837,-0.0022,0.0006,0.9859,3,471,15
Gradient Boosting*,raw sequence variables,erc,PR-AUC,0.9857,0.015,0.0011,0.9708,3,471,1
Gradient Boosting*,raw sequence variables,vs,PR-AUC,0.9857,0.0088,0.0014,0.9769,3,471,2
Gradient Boosting*,raw sequence variables,tmmn,PR-AUC,0.9857,0.0045,0.0005,0.9812,3,471,3
Gradient Boosting*,raw sequence variables,srad,PR-AUC,0.9857,0.0019,0.0003,0.9838,3,471,4
Gradient Boosting*,raw sequence variables,fm1000,PR-AUC,0.9857,0.0017,0.0006,0.984,3,471,5
Gradient Boosting*,raw sequence variables,pr,PR-AUC,0.9857,0.0013,0.0008,0.9844,3,471,6
Gradient Boosting*,raw sequence variables,rmin,PR-AUC,0.9857,0.001,0.0003,0.9848,3,471,7
Gradient Boosting*,raw sequence variables,pet,PR-AUC,0.9857,0.0006,0.0004,0.9851,3,471,8
Gradient Boosting*,raw sequence variables,tmmx,PR-AUC,0.9857,0.0003,0.0013,0.9854,3,471,9
Gradient Boosting*,raw sequence variables,bi,PR-AUC,0.9857,0.0002,0.0007,0.9855,3,471,10
Gradient Boosting*,raw sequence variables,sph,PR-AUC,0.9857,0.0001,0.0001,0.9857,3,471,11
Gradient Boosting*,raw sequence variables,vpd,PR-AUC,0.9857,-0.0,0.0013,0.9858,3,471,12
Gradient Boosting*,raw sequence variables,fm100,PR-AUC,0.9857,-0.0,0.0002,0.9858,3,471,13
Gradient Boosting*,raw sequence variables,rmax,PR-AUC,0.9857,-0.0002,0.0002,0.9859,3,471,14
Gradient Boosting*,raw sequence variables,etr,PR-AUC,0.9857,-0.0003,0.0002,0.9861,3,471,15
Random Forest*,raw sequence variables,fm1000,PR-AUC,0.9808,0.0199,0.0023,0.961,3,471,1
Random Forest*,raw sequence variables,tmmx,PR-AUC,0.9808,0.0119,0.0037,0.9689,3,471,2
Random Forest*,raw sequence variables,tmmn,PR-AUC,0.9808,0.006,0.0009,0.9749,3,471,3
Random Forest*,raw sequence variables,vpd,PR-AUC,0.9808,0.0054,0.0023,0.9754,3,471,4
Random Forest*,raw sequence variables,etr,PR-AUC,0.9808,0.0045,0.0008,0.9763,3,471,5
Random Forest*,raw sequence variables,srad,PR-AUC,0.9808,0.0045,0.0006,0.9764,3,471,6
Random Forest*,raw sequence variables,pet,PR-AUC,0.9808,0.0036,0.0013,0.9772,3,471,7
Random Forest*,raw sequence variables,bi,PR-AUC,0.9808,0.0034,0.0007,0.9774,3,471,8
Random Forest*,raw sequence variables,erc,PR-AUC,0.9808,0.0027,0.0013,0.9781,3,471,9
Random Forest*,raw sequence variables,pr,PR-AUC,0.9808,0.0023,0.001,0.9786,3,471,10
Random Forest*,raw sequence variables,sph,PR-AUC,0.9808,0.0019,0.0004,0.9789,3,471,11
Random Forest*,raw sequence variables,fm100,PR-AUC,0.9808,0.0,0.0021,0.9808,3,471,12
Random Forest*,raw sequence variables,vs,PR-AUC,0.9808,-0.0006,0.0007,0.9814,3,471,13
Random Forest*,raw sequence variables,rmin,PR-AUC,0.9808,-0.0009,0.0028,0.9817,3,471,14
Random Forest*,raw sequence variables,rmax,PR-AUC,0.9808,-0.0039,0.0014,0.9847,3,471,15
K-Nearest Neighbors*,raw sequence variables,fm1000,PR-AUC,0.8857,0.0452,0.005,0.8405,3,471,1
K-Nearest Neighbors*,raw sequence variables,rmin,PR-AUC,0.8857,0.0392,0.0106,0.8465,3,471,2
K-Nearest Neighbors*,raw sequence variables,bi,PR-AUC,0.8857,0.0331,0.0027,0.8526,3,471,3
K-Nearest Neighbors*,raw sequence variables,erc,PR-AUC,0.8857,0.0293,0.0125,0.8564,3,471,4
K-Nearest Neighbors*,raw sequence variables,tmmx,PR-AUC,0.8857,0.0266,0.0057,0.8591,3,471,5
K-Nearest Neighbors*,raw sequence variables,vs,PR-AUC,0.8857,0.0208,0.0084,0.8649,3,471,6
K-Nearest Neighbors*,raw sequence variables,tmmn,PR-AUC,0.8857,0.0165,0.0097,0.8692,3,471,7
K-Nearest Neighbors*,raw sequence variables,fm100,PR-AUC,0.8857,0.0156,0.0117,0.8701,3,471,8
K-Nearest Neighbors*,raw sequence variables,pr,PR-AUC,0.8857,0.0035,0.0072,0.8822,3,471,9
K-Nearest Neighbors*,raw sequence variables,rmax,PR-AUC,0.8857,0.0035,0.0102,0.8822,3,471,10
K-Nearest Neighbors*,raw sequence variables,sph,PR-AUC,0.8857,0.002,0.0114,0.8837,3,471,11
K-Nearest Neighbors*,raw sequence variables,vpd,PR-AUC,0.8857,0.0006,0.0036,0.8851,3,471,12
K-Nearest Neighbors*,raw sequence variables,etr,PR-AUC,0.8857,-0.0047,0.0057,0.8904,3,471,13
K-Nearest Neighbors*,raw sequence variables,pet,PR-AUC,0.8857,-0.0084,0.0031,0.8941,3,471,14
K-Nearest Neighbors*,raw sequence variables,srad,PR-AUC,0.8857,-0.0109,0.0029,0.8965,3,471,15
Simple-MLP*,scaled flattened sequence variables,tmmn,PR-AUC,0.9705,0.1457,0.0177,0.8248,3,471,1
Simple-MLP*,scaled flattened sequence variables,fm1000,PR-AUC,0.9705,0.0842,0.0163,0.8863,3,471,2
Simple-MLP*,scaled flattened sequence variables,erc,PR-AUC,0.9705,0.083,0.0106,0.8875,3,471,3
Simple-MLP*,scaled flattened sequence variables,bi,PR-AUC,0.9705,0.0326,0.0048,0.9378,3,471,4
Simple-MLP*,scaled flattened sequence variables,rmin,PR-AUC,0.9705,0.0208,0.0014,0.9497,3,471,5
Simple-MLP*,scaled flattened sequence variables,pr,PR-AUC,0.9705,0.0044,0.0012,0.9661,3,471,6
Simple-MLP*,scaled flattened sequence variables,fm100,PR-AUC,0.9705,0.0027,0.0004,0.9678,3,471,7
Simple-MLP*,scaled flattened sequence variables,sph,PR-AUC,0.9705,0.0006,0.0024,0.9699,3,471,8
Simple-MLP*,scaled flattened sequence variables,vs,PR-AUC,0.9705,0.0002,0.001,0.9703,3,471,9
Simple-MLP*,scaled flattened sequence variables,vpd,PR-AUC,0.9705,-0.0018,0.0013,0.9723,3,471,10
Simple-MLP*,scaled flattened sequence variables,pet,PR-AUC,0.9705,-0.0029,0.0016,0.9733,3,471,11
Simple-MLP*,scaled flattened sequence variables,etr,PR-AUC,0.9705,-0.0041,0.001,0.9746,3,471,12
Simple-MLP*,scaled flattened sequence variables,tmmx,PR-AUC,0.9705,-0.0049,0.0004,0.9754,3,471,13
Simple-MLP*,scaled flattened sequence variables,rmax,PR-AUC,0.9705,-0.0055,0.0037,0.976,3,471,14
Simple-MLP*,scaled flattened sequence variables,srad,PR-AUC,0.9705,-0.0065,0.0007,0.977,3,471,15
Decision Tree*,raw sequence variables,fm100,PR-AUC,0.8337,0.0362,0.0095,0.7974,3,471,1
Decision Tree*,raw sequence variables,rmin,PR-AUC,0.8337,0.032,0.0086,0.8017,3,471,2
Decision Tree*,raw sequence variables,erc,PR-AUC,0.8337,0.0318,0.0081,0.8018,3,471,3
Decision Tree*,raw sequence variables,bi,PR-AUC,0.8337,0.0277,0.0038,0.806,3,471,4
Decision Tree*,raw sequence variables,tmmn,PR-AUC,0.8337,0.0206,0.0057,0.8131,3,471,5
Decision Tree*,raw sequence variables,sph,PR-AUC,0.8337,0.0152,0.0094,0.8184,3,471,6
Decision Tree*,raw sequence variables,fm1000,PR-AUC,0.8337,0.0148,0.0017,0.8188,3,471,7
Decision Tree*,raw sequence variables,srad,PR-AUC,0.8337,0.0138,0.0046,0.8198,3,471,8
Decision Tree*,raw sequence variables,vpd,PR-AUC,0.8337,0.0062,0.0057,0.8275,3,471,9
Decision Tree*,raw sequence variables,pet,PR-AUC,0.8337,0.0061,0.0007,0.8275,3,471,10
Decision Tree*,raw sequence variables,pr,PR-AUC,0.8337,0.0032,0.0016,0.8305,3,471,11
Decision Tree*,raw sequence variables,vs,PR-AUC,0.8337,0.0031,0.0017,0.8305,3,471,12
Decision Tree*,raw sequence variables,etr,PR-AUC,0.8337,0.0017,0.0026,0.832,3,471,13
Decision Tree*,raw sequence variables,tmmx,PR-AUC,0.8337,0.0012,0.0034,0.8325,3,471,14
Decision Tree*,raw sequence variables,rmax,PR-AUC,0.8337,-0.0021,0.0075,0.8358,3,471,15
Two-Layer-LSTM,scaled sequence variables,tmmn,PR-AUC,0.9442,0.1228,0.0252,0.8214,3,471,1
Two-Layer-LSTM,scaled sequence variables,erc,PR-AUC,0.9442,0.1138,0.0161,0.8304,3,471,2
Two-Layer-LSTM,scaled sequence variables,bi,PR-AUC,0.9442,0.0891,0.0151,0.855,3,471,3
Two-Layer-LSTM,scaled sequence variables,fm1000,PR-AUC,0.9442,0.0875,0.011,0.8567,3,471,4
Two-Layer-LSTM,scaled sequence variables,pr,PR-AUC,0.9442,0.0475,0.004,0.8967,3,471,5
Two-Layer-LSTM,scaled sequence variables,tmmx,PR-AUC,0.9442,0.047,0.0031,0.8971,3,471,6
Two-Layer-LSTM,scaled sequence variables,rmin,PR-AUC,0.9442,0.0283,0.0104,0.9158,3,471,7
Two-Layer-LSTM,scaled sequence variables,srad,PR-AUC,0.9442,0.02,0.0011,0.9242,3,471,8
Two-Layer-LSTM,scaled sequence variables,fm100,PR-AUC,0.9442,0.0149,0.0007,0.9293,3,471,9
Two-Layer-LSTM,scaled sequence variables,vpd,PR-AUC,0.9442,0.01,0.003,0.9341,3,471,10
Two-Layer-LSTM,scaled sequence variables,etr,PR-AUC,0.9442,0.005,0.002,0.9391,3,471,11
Two-Layer-LSTM,scaled sequence variables,sph,PR-AUC,0.9442,0.0045,0.0109,0.9397,3,471,12
Two-Layer-LSTM,scaled sequence variables,pet,PR-AUC,0.9442,-0.001,0.0011,0.9452,3,471,13
Two-Layer-LSTM,scaled sequence variables,rmax,PR-AUC,0.9442,-0.0086,0.0052,0.9527,3,471,14
Two-Layer-LSTM,scaled sequence variables,vs,PR-AUC,0.9442,-0.0113,0.002,0.9555,3,471,15
LightTS-Inspired,scaled sequence variables,fm100,PR-AUC,0.9798,0.2995,0.0055,0.6803,3,471,1
LightTS-Inspired,scaled sequence variables,tmmn,PR-AUC,0.9798,0.205,0.02,0.7747,3,471,2
LightTS-Inspired,scaled sequence variables,bi,PR-AUC,0.9798,0.0486,0.005,0.9311,3,471,3
LightTS-Inspired,scaled sequence variables,tmmx,PR-AUC,0.9798,0.0254,0.0007,0.9543,3,471,4
LightTS-Inspired,scaled sequence variables,rmin,PR-AUC,0.9798,0.0175,0.0028,0.9623,3,471,5
LightTS-Inspired,scaled sequence variables,sph,PR-AUC,0.9798,0.0131,0.0014,0.9666,3,471,6
LightTS-Inspired,scaled sequence variables,fm1000,PR-AUC,0.9798,0.0101,0.0014,0.9696,3,471,7
LightTS-Inspired,scaled sequence variables,rmax,PR-AUC,0.9798,0.0093,0.0026,0.9705,3,471,8
LightTS-Inspired,scaled sequence variables,pr,PR-AUC,0.9798,0.0059,0.002,0.9739,3,471,9
LightTS-Inspired,scaled sequence variables,pet,PR-AUC,0.9798,0.0055,0.0017,0.9742,3,471,10
LightTS-Inspired,scaled sequence variables,srad,PR-AUC,0.9798,0.0043,0.0004,0.9755,3,471,11
LightTS-Inspired,scaled sequence variables,vs,PR-AUC,0.9798,0.0023,0.0008,0.9775,3,471,12
LightTS-Inspired,scaled sequence variables,etr,PR-AUC,0.9798,0.0016,0.0007,0.9781,3,471,13
LightTS-Inspired,scaled sequence variables,vpd,PR-AUC,0.9798,-0.0032,0.0011,0.983,3,471,14
LightTS-Inspired,scaled sequence variables,erc,PR-AUC,0.9798,-0.0052,0.0012,0.985,3,471,15
Logistic Regression*,raw sequence variables,tmmn,PR-AUC,0.9604,0.2508,0.0167,0.7096,3,471,1
Logistic Regression*,raw sequence variables,etr,PR-AUC,0.9604,0.1843,0.0087,0.7761,3,471,2
Logistic Regression*,raw sequence variables,fm1000,PR-AUC,0.9604,0.1476,0.0231,0.8128,3,471,3
Logistic Regression*,raw sequence variables,erc,PR-AUC,0.9604,0.0786,0.0102,0.8818,3,471,4
Logistic Regression*,raw sequence variables,rmin,PR-AUC,0.9604,0.0542,0.0033,0.9062,3,471,5
Logistic Regression*,raw sequence variables,vs,PR-AUC,0.9604,0.0491,0.0038,0.9113,3,471,6
Logistic Regression*,raw sequence variables,bi,PR-AUC,0.9604,0.0373,0.0072,0.9231,3,471,7
Logistic Regression*,raw sequence variables,pet,PR-AUC,0.9604,0.0295,0.01,0.9309,3,471,8
Logistic Regression*,raw sequence variables,pr,PR-AUC,0.9604,0.0073,0.001,0.9531,3,471,9
Logistic Regression*,raw sequence variables,srad,PR-AUC,0.9604,0.003,0.0006,0.9574,3,471,10
Logistic Regression*,raw sequence variables,fm100,PR-AUC,0.9604,0.0023,0.0008,0.9581,3,471,11
Logistic Regression*,raw sequence variables,rmax,PR-AUC,0.9604,0.0013,0.0038,0.9591,3,471,12
Logistic Regression*,raw sequence variables,sph,PR-AUC,0.9604,0.0013,0.0009,0.9591,3,471,13
Logistic Regression*,raw sequence variables,vpd,PR-AUC,0.9604,0.0009,0.0021,0.9595,3,471,14
Logistic Regression*,raw sequence variables,tmmx,PR-AUC,0.9604,-0.0132,0.0016,0.9736,3,471,15
Naive Bayes*,raw sequence variables,tmmn,PR-AUC,0.9729,0.0054,0.0007,0.9675,3,471,1
Naive Bayes*,raw sequence variables,tmmx,PR-AUC,0.9729,0.0052,0.0012,0.9677,3,471,2
Naive Bayes*,raw sequence variables,erc,PR-AUC,0.9729,0.0027,0.0013,0.9702,3,471,3
Naive Bayes*,raw sequence variables,vs,PR-AUC,0.9729,0.0018,0.0001,0.9711,3,471,4
Naive Bayes*,raw sequence variables,fm1000,PR-AUC,0.9729,0.0014,0.0032,0.9715,3,471,5
Naive Bayes*,raw sequence variables,rmin,PR-AUC,0.9729,0.0013,0.0005,0.9716,3,471,6
Naive Bayes*,raw sequence variables,fm100,PR-AUC,0.9729,0.0012,0.0001,0.9717,3,471,7
Naive Bayes*,raw sequence variables,rmax,PR-AUC,0.9729,0.0011,0.0009,0.9718,3,471,8
Naive Bayes*,raw sequence variables,sph,PR-AUC,0.9729,0.0002,0.0,0.9727,3,471,9
Naive Bayes*,raw sequence variables,vpd,PR-AUC,0.9729,0.0002,0.0003,0.9727,3,471,10
Naive Bayes*,raw sequence variables,bi,PR-AUC,0.9729,-0.0,0.0009,0.9729,3,471,11
Naive Bayes*,raw sequence variables,etr,PR-AUC,0.9729,-0.0001,0.0001,0.973,3,471,12
Naive Bayes*,raw sequence variables,pet,PR-AUC,0.9729,-0.0001,0.0002,0.973,3,471,13
Naive Bayes*,raw sequence variables,srad,PR-AUC,0.9729,-0.0003,0.0,0.9732,3,471,14
Naive Bayes*,raw sequence variables,pr,PR-AUC,0.9729,-0.007,0.0011,0.9799,3,471,15
Chronos Embeddings + XGBoost*,Chronos PCA components,PC001,PR-AUC,0.9861,0.0392,0.0011,0.9469,3,471,1
Chronos Embeddings + XGBoost*,Chronos PCA components,PC007,PR-AUC,0.9861,0.0123,0.0057,0.9738,3,471,2
Chronos Embeddings + XGBoost*,Chronos PCA components,PC012,PR-AUC,0.9861,0.0019,0.0002,0.9842,3,471,3
Chronos Embeddings + XGBoost*,Chronos PCA components,PC025,PR-AUC,0.9861,0.0018,0.0006,0.9843,3,471,4
Chronos Embeddings + XGBoost*,Chronos PCA components,PC009,PR-AUC,0.9861,0.0003,0.0001,0.9858,3,471,5
Chronos Embeddings + XGBoost*,Chronos PCA components,PC017,PR-AUC,0.9861,0.0003,0.0001,0.9858,3,471,6
Chronos Embeddings + XGBoost*,Chronos PCA components,PC019,PR-AUC,0.9861,0.0002,0.0001,0.9859,3,471,7
Chronos Embeddings + XGBoost*,Chronos PCA components,PC016,PR-AUC,0.9861,0.0002,0.0001,0.9859,3,471,8
Chronos Embeddings + XGBoost*,Chronos PCA components,PC046,PR-AUC,0.9861,0.0001,0.0,0.986,3,471,9
Chronos Embeddings + XGBoost*,Chronos PCA components,PC005,PR-AUC,0.9861,0.0001,0.0017,0.986,3,471,10
Chronos Embeddings + XGBoost*,Chronos PCA components,PC031,PR-AUC,0.9861,0.0001,0.0,0.986,3,471,11
Chronos Embeddings + XGBoost*,Chronos PCA components,PC023,PR-AUC,0.9861,0.0,0.0,0.986,3,471,12
Chronos Embeddings + XGBoost*,Chronos PCA components,PC015,PR-AUC,0.9861,0.0,0.0001,0.986,3,471,13
Chronos Embeddings + XGBoost*,Chronos PCA components,PC030,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,14
Chronos Embeddings + XGBoost*,Chronos PCA components,PC011,PR-AUC,0.9861,0.0,0.0002,0.9861,3,471,15
Chronos Embeddings + XGBoost*,Chronos PCA components,PC050,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,16
Chronos Embeddings + XGBoost*,Chronos PCA components,PC040,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,17
Chronos Embeddings + XGBoost*,Chronos PCA components,PC032,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,18
Chronos Embeddings + XGBoost*,Chronos PCA components,PC037,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,19
Chronos Embeddings + XGBoost*,Chronos PCA components,PC045,PR-AUC,0.9861,0.0,0.0001,0.9861,3,471,20
Chronos Embeddings + XGBoost*,Chronos PCA components,PC048,PR-AUC,0.9861,0.0,0.0001,0.9861,3,471,21
Chronos Embeddings + XGBoost*,Chronos PCA components,PC035,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,22
Chronos Embeddings + XGBoost*,Chronos PCA components,PC029,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,23
Chronos Embeddings + XGBoost*,Chronos PCA components,PC043,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,24
Chronos Embeddings + XGBoost*,Chronos PCA components,PC018,PR-AUC,0.9861,0.0,0.0001,0.9861,3,471,25
Chronos Embeddings + XGBoost*,Chronos PCA components,PC044,PR-AUC,0.9861,0.0,0.0,0.9861,3,471,26
Chronos Embeddings + XGBoost*,Chronos PCA components,PC020,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,27
Chronos Embeddings + XGBoost*,Chronos PCA components,PC042,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,28
Chronos Embeddings + XGBoost*,Chronos PCA components,PC036,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,29
Chronos Embeddings + XGBoost*,Chronos PCA components,PC021,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,30
Chronos Embeddings + XGBoost*,Chronos PCA components,PC049,PR-AUC,0.9861,-0.0,0.0001,0.9861,3,471,31
Chronos Embeddings + XGBoost*,Chronos PCA components,PC024,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,32
Chronos Embeddings + XGBoost*,Chronos PCA components,PC041,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,33
Chronos Embeddings + XGBoost*,Chronos PCA components,PC022,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,34
Chronos Embeddings + XGBoost*,Chronos PCA components,PC033,PR-AUC,0.9861,-0.0,0.0001,0.9861,3,471,35
Chronos Embeddings + XGBoost*,Chronos PCA components,PC027,PR-AUC,0.9861,-0.0,0.0001,0.9861,3,471,36
Chronos Embeddings + XGBoost*,Chronos PCA components,PC028,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,37
Chronos Embeddings + XGBoost*,Chronos PCA components,PC034,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,38
Chronos Embeddings + XGBoost*,Chronos PCA components,PC039,PR-AUC,0.9861,-0.0,0.0,0.9861,3,471,39
Chronos Embeddings + XGBoost*,Chronos PCA components,PC047,PR-AUC,0.9861,-0.0001,0.0001,0.9861,3,471,40
Chronos Embeddings + XGBoost*,Chronos PCA components,PC038,PR-AUC,0.9861,-0.0001,0.0,0.9862,3,471,41
Chronos Embeddings + XGBoost*,Chronos PCA components,PC014,PR-AUC,0.9861,-0.0001,0.0004,0.9862,3,471,42
Chronos Embeddings + XGBoost*,Chronos PCA components,PC010,PR-AUC,0.9861,-0.0001,0.0001,0.9862,3,471,43
Chronos Embeddings + XGBoost*,Chronos PCA components,PC006,PR-AUC,0.9861,-0.0002,0.0,0.9862,3,471,44
Chronos Embeddings + XGBoost*,Chronos PCA components,PC008,PR-AUC,0.9861,-0.0002,0.0,0.9863,3,471,45
Chronos Embeddings + XGBoost*,Chronos PCA components,PC026,PR-AUC,0.9861,-0.0002,0.0001,0.9863,3,471,46
Chronos Embeddings + XGBoost*,Chronos PCA components,PC013,PR-AUC,0.9861,-0.0005,0.0001,0.9866,3,471,47
Chronos Embeddings + XGBoost*,Chronos PCA components,PC002,PR-AUC,0.9861,-0.0005,0.0002,0.9866,3,471,48
Chronos Embeddings + XGBoost*,Chronos PCA components,PC003,PR-AUC,0.9861,-0.0006,0.0001,0.9867,3,471,49
Chronos Embeddings + XGBoost*,Chronos PCA components,PC004,PR-AUC,0.9861,-0.0008,0.0004,0.9869,3,471,50
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC001,PR-AUC,0.9884,0.0339,0.0007,0.9546,3,471,1
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC007,PR-AUC,0.9884,0.019,0.0094,0.9694,3,471,2
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC025,PR-AUC,0.9884,0.0009,0.0003,0.9875,3,471,3
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC012,PR-AUC,0.9884,0.0008,0.0001,0.9876,3,471,4
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC017,PR-AUC,0.9884,0.0001,0.0001,0.9883,3,471,5
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC016,PR-AUC,0.9884,0.0001,0.0001,0.9883,3,471,6
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC045,PR-AUC,0.9884,0.0001,0.0001,0.9883,3,471,7
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC019,PR-AUC,0.9884,0.0001,0.0001,0.9884,3,471,8
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC027,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,9
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC009,PR-AUC,0.9884,0.0,0.0001,0.9884,3,471,10
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC037,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,11
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC021,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,12
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC023,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,13
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC022,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,14
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC031,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,15
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC030,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,16
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC028,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,17
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC033,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,18
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC042,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,19
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC043,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,20
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC036,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,21
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC035,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,22
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC039,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,23
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC040,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,24
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC041,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,25
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC038,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,26
Chronos Embeddings + Gradient Boosting*,Chronos PCA components,PC047,PR-AUC,0.9884,0.0,0.0,0.9884,3,471,27
